"";"FreqNdx";"order";"order_Freq";"date";"date_Freq";"customer";"customer_Freq";"item";"item_Freq";"amount";"amount_Freq";"quantity";"quantity_Freq";"price";"price_Freq"
"56";56;"11110068704";10;"2020/05/08";327;"11ELECOM5208";22;"26970";22;"13";6;;;"9.25";9
"57";57;"11110075514";10;"2020/05/09";374;"11ELECOM5306";22;"271";240;"13.08";15;;;"9.5";29
"58";58;"11110077677";10;"2020/05/10";455;"11ELECOM7138";22;"273";286;"13.33";31;;;"9.58";14
"59";59;"11110083485";10;"2020/05/11";522;"11ELECOM12151";21;"274";302;"13.75";78;;;"9.583333333";1
"60";60;"11110084214";10;"2020/05/12";734;"11ELECOM12388";21;"280";9;"13.8";1;;;"9.83";1
"61";61;"11110000963";9;"2020/06/01";355;"11ELECOM20580";21;"281";200;"14";98;;;"10";304
"62";62;"11110002223";9;"2020/06/02";532;"11ELECOM2683";21;"283";126;"14.16";15;;;"10.08";25
"63";63;"11110003597";9;"2020/06/03";1173;"11ELECOM3382";21;"285";72;"14.17";11;;;"10.42";2
"64";64;"11110005329";9;"2020/06/04";155;"11ELECOM3783";21;"289";90;"14.25";25;;;"10.5";23
"65";65;"11110005382";9;"2020/06/05";316;"11ELECOM44759";21;"290";169;"14.5";4;;;"10.67";4
"66";66;"11110005430";9;"2020/06/06";279;"11ELECOM5111";21;"297";23;"14.58";63;;;"10.83";14
"67";67;"11110005434";9;"2020/06/07";319;"11ELECOM5147";21;"302";241;"14.83";4;;;"10.835";2
"68";68;"11110005471";9;"2020/06/08";203;"11ELECOM5871";21;"320";79;"15";131;;;"11";4
"69";69;"11110005497";9;"2020/06/09";346;"11ELECOM6085";21;"338";52;"15.17";3;;;"11.08";15
"70";70;"11110005584";9;"2020/06/10";449;"11ELECOM6486";21;"339";26;"15.42";133;;;"11.5";18
"71";71;"11110005587";9;"2020/06/11";481;"11ELECOM6968";21;"340";75;"15.5";12;;;"11.665";4
"72";72;"11110005649";9;"2020/06/12";596;"11ELECOM12240";20;"341";71;"15.67";1;;;"11.66666667";2
"73";73;"11110005756";9;"2020/07/01";349;"11ELECOM1329";20;"349";174;"15.83";71;;;"11.6675";1
"74";74;"11110007231";9;"2020/07/02";798;"11ELECOM16566";20;"351";73;"15.94";1;;;"11.67";74
"75";75;"11110007339";9;"2020/07/03";570;"11ELECOM16664";20;"352";21;"16.04";24;;;"12";3
"76";76;"11110011157";9;"2020/07/04";160;"11ELECOM1676";20;"400";17;"16.25";10;;;"12.33";3
"77";77;"11110011719";9;"2020/07/05";254;"11ELECOM19773";20;"401";84;"16.5";22;;;"12.5";31
"78";78;"11110011744";9;"2020/07/06";275;"11ELECOM31619";20;"40200";152;"16.67";846;;;"12.67";2
"79";79;"11110011789";9;"2020/07/07";308;"11ELECOM4271";20;"40401";90;"17.5";328;;;"13.08";15
"80";80;"11110011796";9;"2020/07/08";484;"11ELECOM5274";20;"40410";89;"17.67";1;;;"13.33";31
"81";81;"11110011802";9;"2020/07/09";442;"11ELECOM6060";20;"40610";7;"17.71";23;;;"13.75";87
"82";82;"11110011859";9;"2020/07/10";825;"11ELECOM7577";20;"41997";5;"18";2;;;"13.8";1
"83";83;"11110011862";9;"2020/07/11";725;"11ELECOM12412";19;"41998";4;"18.33";99;;;"14";106
"84";84;"11110028982";9;"2020/07/12";577;"11ELECOM14193";19;"41999";11;"18.75";1852;;;"14.16";15
"85";85;"11110029031";9;"2020/08/01";515;"11ELECOM14219";19;"440";21;"18.92";4;;;"14.166";1
"86";86;"11110029043";9;"2020/08/02";658;"11ELECOM16460";19;"445";4;"18.96";25;;;"14.17";9
"87";87;"11110029067";9;"2020/08/03";482;"11ELECOM16531";19;"4464";1;"19";2;;;"14.25";26
"88";88;"11110029156";9;"2020/08/04";128;"11ELECOM20838";19;"448";8;"19.17";69;;;"14.58";63
"89";89;"11110029191";9;"2020/08/05";229;"11ELECOM2256";19;"464";1117;"19.25";2;;;"14.584";1
"90";90;"11110029228";9;"2020/08/06";298;"11ELECOM2663";19;"470";154;"19.5";1;;;"14.585";8
"91";91;"11110029467";9;"2020/08/07";324;"11ELECOM3814";19;"478";1627;"19.58";8;;;"14.83";4
"92";92;"11110029497";9;"2020/08/08";414;"11ELECOM3825";19;"48040";4;"19.83";5;;;"15";123
"93";93;"11110029564";9;"2020/08/09";394;"11ELECOM5315";19;"48054";24;"20";536;;;"15.17";3
"94";94;"11110029567";9;"2020/08/10";342;"11ELECOM7223";19;"48081";1;"20.17";13;;;"15.415";12
"95";95;"11110029655";9;"2020/08/11";328;"11ELECOM7899";19;"48163";13;"20.83";1082;;;"15.4175";3
"96";96;"11110029658";9;"2020/08/12";505;"11ELECOM7973";19;"48167";20;"21";2;;;"15.42";133
"97";97;"11110029724";9;"2020/09/01";438;"11ELECOM12193";18;"48250";21;"21.25";1;;;"15.5";13
"98";98;"11110029821";9;"2020/09/02";655;"11ELECOM13132";18;"48255";8;"21.33";1;;;"15.83";71
"99";99;"11110029827";9;"2020/09/03";497;"11ELECOM13792";18;"48256";3;"21.67";74;;;"15.83285714";1
"100";100;"11110029957";9;"2020/09/04";146;"11ELECOM14261";18;"48258";27;"21.75";7;;;"15.83333333";3
"101";101;"11110030106";9;"2020/09/05";246;"11ELECOM1459";18;"48265";57;"22.33";1;;;"15.835";5
"102";102;"11110030184";9;"2020/09/06";344;"11ELECOM16675";18;"48272";7;"22.5";13;;;"15.94";1
